CELL_LINE_NAME,COSMIC_ID,DRUG_ID,DRUGID_COSMICID,FOLD_DILUTION,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,drug_name,CCL_name,auc,spearman_r,count_missing,sigmoid_4_param_r2,sigmoid_4_param
MOLP-8,1330950,152,152_1330950,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.089725878,1.078692102,1.081485171,1.128117877,0.935746997,0.624368305,0.244510953,0.113767635,0.069443249,CP466722,MOLP-8,0.7590151716618061,-0.7939393939393938,0,0.9929110363047752,[  0.67884333   0.99739706 -16.28681848   0.07414264]
Sci-1,1331031,133,133_1331031,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.997113675,0.952644162,1.033615131,1.015195544,1.016963766,0.87603402,0.537393831,0.166177962,0.057082099,Doxorubicin,Sci-1,0.7915199047245596,-0.6606060606060605,0,0.9960981434704377,[  0.77925182   1.03346809 -17.39890857   0.03693669]
KARPAS-299,907273,9,9_907273,2,1.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.04948955,1.029706644,1.025043846,1.022183974,1.018202584,1.047763091,1.036371183,0.739308138,0.105242398,MG-132,KARPAS-299,0.9467433566290054,-0.3696969696969697,0,0.9976675800609665,[ 8.93423646e-01  1.08300970e+00 -1.55463334e+02  1.05242341e-01]
HPAF-II,724869,235,235_724869,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.016651695,1.035645813,1.067903511,1.045164407,0.911115895,0.879140309,0.689341261,0.445594179,0.172160711,QL-XII-47,HPAF-II,0.8529597140696247,-0.7696969696969697,0,0.9902584092334213,[ 0.93102794  0.79469747 -7.93337979 -0.22211873]
OACp4C,1503362,269,269_1503362,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.970421191,0.977622573,0.972988984,0.987583421,0.983823003,0.98562411,0.94155177,0.748985523,0.129076397,NSC-207895,OACp4C,0.9036820860264656,-0.6242424242424242,0,0.9989710155387792,[  1.01193279   0.65023486 -17.43767538  -0.55472291]
A2780,906804,245,245_906804,2,40.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.928937428,0.923798129,0.931713418,0.976103633,0.893331441,0.916662065,0.659415158,0.01005896,-0.000499031,UNC0638,A2780,0.7488634131302985,-0.8787878787878788,0,0.9941894677390414,[ 7.96348784e-01  1.06000339e+00 -4.31919716e+01 -4.20617525e-03]
HGC-27,907055,156,156_907055,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.001678535,1.05184594,1.023198001,0.993653751,0.936926069,0.729644152,0.567890031,0.197303455,0.124954353,AZD6482,HGC-27,0.7849574569025546,-0.8909090909090909,0,0.9903303469700784,[  0.77384399   0.99639598 -10.46774514   0.01801615]
BC-3,910918,135,135_910918,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.990236799,0.985366114,0.946063655,0.917312711,0.855298172,0.733452407,0.432046976,0.238384927,0.150023194,Gemcitabine,BC-3,0.7414637065892861,-1.0,0,0.9965049350065112,[  0.72991739   1.12357093 -10.59015187   0.08932671]
A2780,906804,165,165_906804,2,4000.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.043928016,1.003871386,1.013749226,0.98981038,0.984772018,0.888282426,0.666901137,0.512586404,0.087628799,DMOG,A2780,0.8497461548597672,-0.9151515151515152,0,0.9909661413674168,[ 1.27302925  0.35332114 -6.40079834 -1.80140716]
HL-60,905938,53,53_905938,2,0.256,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.950286036,1.033764219,1.055125885,1.04255789,1.026114623,0.971361684,0.865167452,0.302184643,0.003626057,CGP-60474,HL-60,0.860930606895628,-0.6121212121212121,0,0.993218929782634,[  0.85845279   0.95055236 -22.37356911  -0.03767111]
TUR,909773,207,207_909773,2,8.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.993997162,1.016089721,1.021777366,0.998367428,1.047060848,1.003967962,0.955988848,0.712092896,0.119060808,AS601245,TUR,0.9232080706550616,-0.5151515151515151,0,0.9971773663857586,[  0.97808211   0.74216888 -17.31125714  -0.33469986]
SJRH30,909716,269,269_909716,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.023435603,0.993335751,0.983364312,0.96953442,0.955910816,1.005808288,1.000035864,1.049830802,0.039342909,NSC-207895,SJRH30,0.9445474789626196,-0.103030303030303,0,0.9925345483332337,[   1.0252679     0.15104843 -145.0935049    -5.62247561]
T-T,1299064,292,292_1299064,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.026624341,1.043511232,1.026651569,1.06260354,1.026734435,0.998904507,1.012327602,1.028648637,0.19321573,Masitinib,T-T,0.9802904142866008,-0.2242424242424242,0,0.994817295487716,[   1.0281483     0.1780713  -123.44833116   -4.59061601]
H3255,1247873,245,245_1247873,2,40.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.988655243,1.025168562,0.98850988,1.024171788,1.013395473,1.040830106,1.024914177,0.785048682,0.060984887,UNC0638,H3255,0.9356873728053186,-0.2121212121212121,0,0.9968970909451497,[ 8.96004771e-01  1.05017653e+00 -1.55407945e+02  6.09847918e-02]
BICR22,1240121,219,219_1240121,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.998612273,1.035521058,1.042756595,1.066915603,1.05025124,0.384443098,0.174940951,0.101960311,0.112308784,AT-7519,BICR22,0.7123950582350772,-0.5878787878787878,0,0.9960239874382475,[ 6.60230149e-01  1.10790297e+00 -1.60969931e+02  1.29736676e-01]
Hs-633T,1240149,207,207_1240149,2,8.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.018223699,0.940966405,0.925315478,0.936094139,0.967477743,0.969272143,0.897990732,0.567302048,0.050130663,AS601245,Hs-633T,0.8608564132575962,-0.7818181818181817,0,0.9912070566980581,[  0.92121014   0.91545442 -19.79346709  -0.12611783]
Hs-633T,1240149,260,260_1240149,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.042135112,1.018017149,1.016674372,1.024649483,0.934424708,0.999079071,0.876152402,0.537931469,0.007699042,NG-25,Hs-633T,0.8836570319847689,-0.8303030303030302,0,0.9932323025749626,[  0.96869458   0.68889243 -13.83501426  -0.44078571]
NCI-H1623,687798,245,245_687798,2,40.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.984988163,1.045631561,1.002478897,1.008178125,1.003743032,1.016597898,1.019903769,0.675745822,0.120122616,UNC0638,NCI-H1623,0.9241476195262572,-0.1878787878787878,0,0.9970443376887704,[ 8.91231519e-01  1.12351022e+00 -1.66975609e+02  1.20122607e-01]
LC-1-sq,1298223,245,245_1298223,2,40.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.941405922,0.923276519,0.969403607,0.916910622,0.914362267,0.938294276,0.775476182,0.217015568,0.031460496,UNC0638,LC-1-sq,0.7902083569032059,-0.8787878787878788,0,0.994548328551774,[ 8.34654103e-01  1.07621793e+00 -2.51087666e+01  1.60527282e-02]
Farage,1297449,64,64_1297449,2,4.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.007927982,0.984775833,1.081724909,1.081667268,1.099361064,0.986445652,0.659823073,0.134750514,0.012682537,CMK,Farage,0.8380908406413122,-0.5757575757575757,0,0.9910731718375966,[ 8.03920064e-01  9.61440788e-01 -2.23684057e+01  1.94009242e-03]
TE-4,1503371,276,276_1503371,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.033793524,1.069811941,0.993297631,0.993128759,0.865962474,0.573673029,0.181364009,0.10582963,0.087001632,CAY10603,TE-4,0.7067068683339498,-0.9515151515151514,0,0.996410705101931,[  0.66380884   1.05427989 -16.14430578   0.0735833 ]
SK-N-FI,688087,9,9_688087,2,1.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.00433221,0.9336825,0.965305689,0.968579407,0.988188415,0.99287586,1.004778474,0.807221386,0.047350691,MG-132,SK-N-FI,0.909848809679646,-0.406060606060606,0,0.9945384795902782,[ 8.98518400e-01  1.06967028e+00 -1.45491679e+02  4.73503034e-02]
U251,905983,252,252_905983,2,1.28,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.943405109,0.961710441,0.980390777,0.985242151,0.91897079,0.831166943,0.513149345,0.265321117,0.153378695,WZ3105,U251,0.7751162246769903,-0.8787878787878788,0,0.9968621323713533,[  0.75652761   1.18677706 -14.59795161   0.13123068]
Farage,1297449,207,207_1297449,2,8.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.986765663,0.962077125,0.951256701,0.960366075,1.009544714,0.957305281,0.936694058,0.575256337,0.008400922,AS601245,Farage,0.8714962684467925,-0.7696969696969697,0,0.9965257753848714,[  0.91353661   0.92810931 -24.30430534  -0.10143916]
NCI-H1437,687794,252,252_687794,2,1.28,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.015535698,1.062667725,0.99531474,0.977587826,0.982499347,0.941505153,0.658561113,0.236654788,0.150614676,WZ3105,NCI-H1437,0.8272926365971953,-0.9393939393939392,0,0.9954294102369765,[  0.7899522    1.14438817 -20.63121764   0.13207763]
LP-1,907791,269,269_907791,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.957686983,0.986893217,0.992248504,0.979125946,0.918523415,0.878969459,0.817396626,0.49956541,0.167527944,NSC-207895,LP-1,0.8460192814361387,-0.9151515151515152,0,0.9925758287230134,[ 0.97969433  0.75760081 -9.88107308 -0.34106004]
