CELL_LINE_NAME,COSMIC_ID,DRUG_ID,DRUGID_COSMICID,FOLD_DILUTION,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,drug_name,CCL_name,dif_first,dif_last,sigmoid_4_param_r2,sigmoid_4_param
GA-10,1303896,56,56_1303896,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.965037215,0.873978297,0.538672756,0.267684528,0.104350024,0.058978827,0.061131178,0.063283529,0.060923177,WH-4-023,GA-10,0.03496278500000005,0.002360352000000003,0.9989743140691645,[  0.33756025   1.04782765 -13.48501656   0.05850043]
NCI-H82,688031,86,86_688031,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.950649836,0.967888948,0.962161464,0.887867078,0.867754781,0.639661171,0.264003409,0.051083145,0.011491266,A-443654,NCI-H82,0.04935016400000003,0.039591879,0.9967130199755919,[  0.71260984   1.0231199  -13.99069303  -0.01643033]
RT-112,909704,308,308_909704,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.963646752,0.900620419,0.84217782,0.718098911,0.469376109,0.173640564,0.103124519,0.016716479,0.010709234,WIKI4,RT-112,0.03635324799999995,0.006007245,0.9964674768778802,[ 5.38845008e-01  1.02214248e+00 -9.91890066e+00 -5.22005359e-03]
Toledo,1331046,152,152_1331046,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.958875078,0.957219243,0.83951184,0.799062176,0.527299941,0.393233393,0.151114326,0.054011476,0.031987636,CP466722,Toledo,0.04112492199999995,0.022023840000000003,0.9938644886081044,[ 0.60122614  0.97682635 -7.75506864 -0.02855424]
KINGS-1,907279,273,273_907279,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.985482555,0.992367445,0.91938824,0.789745796,0.572841997,0.1229801,0.025068632,0.020225392,-0.000499787,CUDC-101,KINGS-1,0.014517444999999962,0.020725179,0.994746459181647,[ 5.63743151e-01  1.01154660e+00 -1.47371397e+01 -8.90864519e-03]
CAL-27,910916,274,274_910916,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.963995559,0.884885755,0.750524081,0.317600865,0.059671837,0.00744893,0.005729363,0.005106824,0.004609278,Belinostat,CAL-27,0.036004441,0.0004975460000000006,0.9983830002502044,[ 3.99599429e-01  1.02847387e+00 -1.66221112e+01  1.68315792e-04]
HUTU-80,907073,272,272_907073,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.988876868,0.920766872,0.810864206,0.502600852,0.07747797,-0.000444034,-0.008614143,-0.010892201,-0.011758591,AR-42,HUTU-80,0.011123132000000036,0.0008663899999999999,0.9974337970843893,[  0.44237501   1.0035162  -16.52610789  -0.01987915]
NCI-H2444,1298356,268,268_1298356,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.988964998,0.965619904,0.505189685,0.059045745,0.023179647,0.017188038,0.014751289,0.016139811,0.012499878,Sepantronium bromide,NCI-H2444,0.01103500199999996,0.0036399329999999997,0.9999152179224547,[ 3.32544101e-01  1.01992846e+00 -2.90426944e+01  1.71984699e-02]
HEL,907053,104,104_907053,2,0.02,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.974708226,0.940589575,0.929181322,0.898286965,0.62846621,0.250953326,0.03623652,0.029253971,0.033731017,Bortezomib,HEL,0.025291774000000045,0.004477046000000002,0.9979239491824008,[  0.59016143   1.05378462 -16.24736787   0.01791704]
NMC-G1,908449,170,170_908449,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.986038357,0.926004867,0.942195338,0.976929081,0.645821996,0.096650579,0.033273033,0.019794267,0.017002807,Shikonin,NMC-G1,0.013961643000000024,0.002791459999999999,0.997584290461025,[ 5.76565059e-01  1.05767895e+00 -2.92961437e+01  2.40404447e-02]
NCI-H1993,908476,170,170_908476,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.952686453,0.91879844,0.879570829,0.890061843,0.961784415,0.615944247,0.062727521,0.040909139,0.035391817,Shikonin,NCI-H1993,0.04731354700000001,0.005517321999999998,0.9931067012096537,[ 6.77285651e-01  1.12155251e+00 -4.50518085e+01  4.26430267e-02]
SBC-3,753610,135,135_753610,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.990962569,0.717361399,0.391355495,0.12174964,0.089483788,0.069738716,0.058549708,0.048249435,0.031395411,Gemcitabine,SBC-3,0.009037430999999985,0.016854024000000002,0.997357272868744,[  0.28075728   1.01423317 -14.11451671   0.05207885]
EVSA-T,906862,1053,1053_906862,2,4.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.978865655,0.804546402,0.705738033,0.452642259,0.246643521,0.128608672,0.080212301,0.057322652,0.055322486,MK-2206,EVSA-T,0.021134345,0.0020001660000000046,0.9969726101536174,[ 0.40132776  1.00901153 -8.44363742  0.04081746]
BV-173,910710,1031,1031_910710,2,0.2,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.968177596,0.983069369,0.934230272,0.81848788,0.604722063,0.423254985,0.200793239,0.150928931,0.179069249,Elesclomol,BV-173,0.031822404000000026,0.028140318000000025,0.9959184126887944,[  0.56479285   1.16925701 -10.33517726   0.13754977]
MOLT-4,905958,86,86_905958,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.951705617,0.94167164,0.905155895,0.85499077,0.787176949,0.47977238,0.126814349,0.032951848,0.020826997,A-443654,MOLT-4,0.048294382999999996,0.012124850999999999,0.9946600882758442,[ 6.60132632e-01  1.05767132e+00 -1.43088069e+01 -2.02906431e-03]
NCI-H526,688025,133,133_688025,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.957998948,0.890021777,0.744936811,0.591396636,0.470180163,0.251791584,0.067115957,0.023458045,0.01856759,Doxorubicin,NCI-H526,0.04200105200000004,0.004890455000000002,0.9948970313485548,[ 0.53173075  0.90855924 -6.23275131 -0.06399815]
NMC-G1,908449,331,331_908449,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.983466282,0.963488947,0.843690977,0.795708015,0.612517667,0.325653858,0.238840753,0.229491708,0.187304966,QL-X-138,NMC-G1,0.01653371800000003,0.042186742,0.9916775571322953,[  0.52982614   1.24842855 -10.38631331   0.18083771]
PCI-4B,1298531,1007,1007_1298531,2,0.0125,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.97898719,0.932312989,0.605634179,0.353257656,0.259814525,0.235316998,0.210407851,0.154314907,0.122885266,Docetaxel,PCI-4B,0.021012809999999993,0.031429640999999994,0.9906567896989832,[  0.33192814   1.19213925 -13.62161154   0.18281027]
TT2609-C02,1240223,133,133_1240223,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.993014159,0.858954094,0.64575564,0.325972019,0.133373588,0.086757295,0.082219737,0.027762009,0.022257891,Doxorubicin,TT2609-C02,0.006985840999999993,0.005504118000000002,0.998219880676145,[  0.3682675    1.02107999 -11.68245597   0.04200359]
NCI-SNU-1,908444,274,274_908444,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.988558778,0.862464072,0.743867965,0.488255339,0.331277288,0.111819488,0.090220765,0.072234683,0.032303498,Belinostat,NCI-SNU-1,0.011441221999999973,0.039931184999999994,0.9963308018357359,[ 0.43251284  1.0003014  -8.40769499  0.03179407]
HuCCT1,907069,346,346_907069,2,2.5,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.961882336,0.898869855,0.73554075,0.259879206,0.214497827,0.20056636,0.203336559,0.208613417,0.196100243,THZ-2-102-1,HuCCT1,0.03811766400000005,0.012513173999999988,0.996472270564864,[  0.35239507   1.3181977  -27.92703141   0.20211673]
451Lu,1287706,1060,1060_1287706,2,0.25,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.970556758,0.561432299,0.271706692,0.198666715,0.129361605,0.118428563,0.095361769,0.090546749,0.112835395,PD0325901,451Lu,0.029443242000000036,0.02228864600000001,0.9926431199915347,[  0.22012531   1.0649266  -15.69363434   0.11792755]
KOPN-8,1330933,32,32_1330933,2,2.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.984861945,0.967189297,0.779737002,0.224185521,0.198630356,0.22497069,0.193980995,0.175983761,0.150390517,Tozasertib,KOPN-8,0.015138054999999984,0.025593243999999987,0.9974300029708804,[  0.3559497    1.25366479 -36.33677671   0.18824488]
L-363,924239,252,252_924239,2,1.28,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.958477043,0.958922167,0.911514465,0.447492882,0.00632506,0.003970124,0.002573498,0.003784997,0.003123437,WZ3105,L-363,0.04152295699999997,0.0006615599999999998,0.9990157326150393,[ 4.37620718e-01  1.03032505e+00 -2.93777601e+01 -1.77848926e-03]
BV-173,910710,306,306_910710,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.997499139,0.889397356,0.808272336,0.640737561,0.408418796,0.182200196,0.059528878,0.014235393,0.007448267,Fedratinib,BV-173,0.002500861000000021,0.006787126000000001,0.998208945935374,[ 0.51391966  0.96578703 -8.33243205 -0.02584709]
YH-13,909905,268,268_909905,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.975007462,0.908447911,0.34299821,0.014267088,0.010561383,0.016221061,0.013361664,0.017305392,0.011231895,Sepantronium bromide,YH-13,0.02499253800000001,0.006073496999999999,0.9996451746333456,[ 3.08750424e-01  1.02334690e+00 -2.84446631e+01  1.05656368e-02]
MC-IXC,908118,176,176_908118,2,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.953280604,0.906370504,0.93525127,0.924546441,0.966232404,0.951859684,0.915403496,0.025332342,0.010294271,IPA-3,MC-IXC,0.04671939599999997,0.015038071,0.9959950374050855,[ 8.26398895e-01  1.06617504e+00 -6.69076903e+01  1.02900783e-02]
PF-382,909260,170,170_909260,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.955045975,0.899007056,0.916917661,0.667409497,0.392423611,0.019807572,0.001554447,0.007455742,0.000312625,Shikonin,PF-382,0.04495402500000001,0.007143116999999999,0.9925009060320673,[  0.51522814   1.02282599 -14.28112084  -0.01762617]
KARPAS-45,907272,1058,1058_907272,2,4.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.994179732,0.887569365,0.703624852,0.505750113,0.358887712,0.203742607,0.165118874,0.092029092,0.128044111,Pictilisib,KARPAS-45,0.005820268000000017,0.03601501899999998,0.9971423002693688,[ 0.40504118  1.04466479 -7.76877201  0.100111  ]
CHP-212,906820,275,275_906820,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.97916171,0.940565824,0.851702433,0.646485025,0.592350651,0.387775945,0.249239814,0.204137009,0.186444935,I-BET-762,CHP-212,0.020838290000000037,0.017692074000000002,0.9925551103701948,[ 0.50971729  1.11729189 -6.70555177  0.13610445]
HCT-116,905936,272,272_905936,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.953252186,0.905793648,0.818980508,0.440028055,0.262157124,0.140114164,0.038543888,0.020331881,0.011028153,AR-42,HCT-116,0.046747814000000054,0.009303727999999999,0.9940757751170478,[  0.43813854   1.01805598 -10.56534672   0.02077895]
ST486,910906,200,200_910906,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.962612908,0.603982248,0.12153199,0.046589939,0.033238305,0.022638644,0.032469866,0.03548599,0.035130587,Dacinostat,ST486,0.03738709200000001,0.00035540300000000413,0.999879454661784,[  0.23589374   1.02828994 -23.92257444   0.03303037]
CHL-1,910853,170,170_910853,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.976703254,0.740210152,0.310465082,0.017889645,0.007786611,0.007177288,0.009033643,0.008725196,0.007682534,Shikonin,CHL-1,0.02329674599999998,0.0010426619999999989,0.9986618533072588,[ 2.82922161e-01  9.91396243e-01 -1.79089477e+01  1.63844641e-03]
KOPN-8,1330933,60,60_1330933,2,0.256,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.957364711,0.980404797,0.990189489,0.95105072,0.958657611,0.728378247,0.116216626,0.046383733,0.056193812,BI-2536,KOPN-8,0.04263528900000002,0.009810079,0.9988490237939724,[  0.69575473   1.08136559 -32.01097185   0.04990918]
MV-4-11,908156,200,200_908156,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.965240928,0.746858452,0.325232616,0.035406148,0.009800836,0.007871341,0.007088531,0.00902042,0.011153398,Dacinostat,MV-4-11,0.034759071999999946,0.0021329780000000007,0.9992063652741657,[ 2.86162864e-01  9.96999864e-01 -1.73959411e+01  3.34479938e-03]
MV-4-11,908156,235,235_908156,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.995948311,0.834345222,0.641879734,0.335356584,0.073954659,0.008392153,0.006252498,0.004262508,0.001442893,QL-XII-47,MV-4-11,0.0040516889999999695,0.002819615,0.9976047446395706,[ 3.80147677e-01  9.77194463e-01 -1.16862893e+01 -9.71753075e-03]
NCI-H510A,753605,165,165_753605,2,4000.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.992310623,0.927715165,0.85195851,0.735253291,0.476638979,0.244936953,0.124497115,0.044129241,0.003052706,DMOG,NCI-H510A,0.007689377000000053,0.041076535,0.9988342969652925,[ 0.55082401  0.98587583 -8.62965139 -0.01127494]
EB2,906846,200,200_906846,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.956134068,0.917948326,0.791256129,0.480705444,0.223271295,0.085258979,0.049086883,0.021598376,0.014814066,Dacinostat,EB2,0.043865931999999996,0.006784309999999998,0.9993564693733018,[  0.43717376   1.02942962 -11.76396      0.0209183 ]
NCI-H865,1330977,273,273_1330977,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.984831771,0.947200856,0.825667612,0.69583364,0.331196158,0.050187302,0.006105507,0.006910884,0.003782184,CUDC-101,NCI-H865,0.015168229000000033,0.0031287,0.9960193613502122,[  0.50346862   1.01000943 -13.22446983  -0.01363047]
NAMALWA,908159,134,134_908159,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.954935713,0.972503656,0.791642412,0.537073917,0.304027722,0.231119711,0.16424715,0.121671215,0.118630475,Etoposide,NAMALWA,0.04506428699999998,0.00304074,0.9963197509523447,[  0.42285067   1.14468028 -11.17142293   0.1337196 ]
MOLM-13,1330947,1037,1037_1330947,2,5.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.975828862,0.954661406,0.742493557,0.530301338,0.268900338,0.090044465,0.087378442,0.070353711,0.04851998,BX796,MOLM-13,0.024171138000000036,0.021833731000000002,0.9973832415431862,[  0.43360433   1.04118596 -10.8128619    0.0505223 ]
NAMALWA,908159,252,252_908159,2,1.28,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.979816558,0.988372208,0.99137278,0.976787855,0.842863202,0.280170155,0.035023394,0.020742545,0.015431264,WZ3105,NAMALWA,0.020183441999999996,0.005311281000000001,0.9998730066364455,[ 6.25173123e-01  1.02668420e+00 -2.45013571e+01  1.56247936e-02]
GT3TKB,907041,170,170_907041,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.985472701,0.989449904,0.888981454,0.286965554,0.033360355,0.023588806,0.012621852,0.027300007,0.036183817,Shikonin,GT3TKB,0.014527299000000049,0.008883809999999999,0.9997817497631061,[ 4.08060349e-01  1.03128146e+00 -2.80791862e+01  2.34724184e-02]
NCI-H510A,753605,200,200_753605,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.997694923,0.902208458,0.77796752,0.354615395,0.086183471,0.007510686,0.012219668,0.013918534,0.012545265,Dacinostat,NCI-H510A,0.0023050770000000442,0.0013732689999999999,0.9985723858958049,[ 4.06901942e-01  1.01785844e+00 -1.62009381e+01  6.59664924e-03]
JM1,1327768,87,87_1327768,2,0.256,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.970757683,0.956679955,0.951426075,0.80480613,0.370469051,0.135942298,0.11048149,0.126021356,0.119089453,GW843682X,JM1,0.029242317000000018,0.006931903000000003,0.9991493003670185,[  0.50557751   1.16095322 -20.63282746   0.11401278]
MV-4-11,908156,180,180_908156,2,0.512,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.955576695,0.877491984,0.731748062,0.253719201,0.018177144,0.005245217,0.03800594,0.002796242,-0.003892356,Thapsigargin,MV-4-11,0.044423305000000024,0.0066885980000000005,0.9968185003995618,[ 3.87366470e-01  1.04313746e+00 -1.90690816e+01  3.82527509e-03]
ALL-SIL,1295740,152,152_1295740,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.975050458,0.927487187,0.811617928,0.69622263,0.414302909,0.15206089,0.022379882,0.007352565,0.009175916,CP466722,ALL-SIL,0.02494954199999999,0.001823350999999999,0.9969906272700204,[  0.52357736   0.99648931 -10.18228209  -0.02103895]
A2058,906792,201,201_906792,2,0.032,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.981793496,0.99201308,0.84149726,0.359048755,0.123066712,0.069718643,0.033951039,0.023408395,0.018299542,Epothilone B,A2058,0.018206504000000012,0.005108853,0.9984166650051525,[  0.41030173   1.03957525 -19.56442644   0.03930942]
MDA-MB-453,908122,224,224_908122,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.967317652,0.896448184,0.895689844,0.746948896,0.389007023,0.242068399,0.170748983,0.170979013,0.125046316,AS605240,MDA-MB-453,0.03268234800000003,0.04593269700000002,0.9944613486937849,[  0.49020738   1.23389972 -14.54486975   0.15181145]
NAMALWA,908159,11,11_908159,2,0.1024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.976520689,0.951359749,0.97958806,0.47905586,0.202902936,0.122421605,0.072307553,0.033969962,0.029067022,Paclitaxel,NAMALWA,0.023479311000000003,0.004902939999999998,0.9908434392297664,[  0.43761904   1.08321956 -21.39698817   0.07187836]
OCI-LY7,1659819,1053,1053_1659819,2,4.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.985051544,0.871424764,0.597834921,0.294179056,0.112387259,0.050036953,0.042312502,0.021883865,0.026102984,MK-2206,OCI-LY7,0.014948456000000054,0.004219119,0.9997426463495057,[  0.35976097   1.00628261 -12.21403488   0.02780339]
OCI-LY7,1659819,1149,1149_1659819,2,5.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.965809792,0.91977343,0.973170528,0.251608276,0.037884962,0.022897747,0.033947592,0.042938002,0.040561854,TW 37,OCI-LY7,0.034190208000000055,0.0023761480000000015,0.9981675698819352,[ 4.36711900e-01  1.07637712e+00 -1.63993242e+02  3.56460301e-02]
NAMALWA,908159,170,170_908159,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.968977514,0.972477155,0.945862313,0.995440319,0.939893815,0.012028837,0.003757467,0.002610913,0.004307032,Shikonin,NAMALWA,0.031022486000000016,0.0016961189999999998,0.9991397220090247,[ 6.00295568e-01  1.02776583e+00 -7.18228536e+01  3.56708945e-03]
JIMT-1,1298157,1031,1031_1298157,2,0.2,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.95991281,0.979390237,0.943885761,0.773413567,0.613709085,0.323650972,0.154958302,0.024978234,0.062099225,Elesclomol,JIMT-1,0.04008719000000005,0.037120991000000006,0.9962397008316577,[  0.58897221   1.02587867 -10.0281566    0.01658507]
CAL-148,924106,272,272_924106,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.962253193,0.935871015,0.891681493,0.705546607,0.341339335,0.026487815,0.002971583,0.002918258,0.002113158,AR-42,CAL-148,0.03774680699999999,0.0008051,0.9974988595380553,[ 5.10411974e-01  1.02168528e+00 -1.54007758e+01 -1.26602933e-02]
